"100411", "7016095"
"100411", "7016097"
"100411", "7016102"
"100412", "7016097"
"100412", "7016102"
"100413", "7016098"
"100413", "7016104"
"100413", "7016101"
"100414", "7016095"
"100414", "7016097"
"100414", "7016102"
"100415", "7016095"
"100415", "7016097"
"100415", "7016102"
"100416", "7016095"
"100416", "7016097"
"100416", "7016102"
"100417", "7016095"
"100417", "7016097"
"100417", "7016102"
"100418", "7016098"
"100418", "7016104"
"100418", "7016101"
"100419", "7016095"
"100419", "7016097"
"100419", "7016102"
"100420", "7016095"
"100420", "7016097"
"100420", "7016102"
"100421", "7016095"
"100421", "7016097"
"100421", "7016102"
"100422", "7016098"
"100422", "7016104"
"100422", "7016101"
"100423", "7016097"
"100423", "7016102"
"100424", "7016095"
"100424", "7016097"
"100424", "7016102"
"100598", "7001012"
"100598", "7001019"
"100598", "7001027"
"100598", "7001025"
"100599", "7001011"
"100599", "7001018"
"100599", "7001025"
"100600", "7001012"
"100600", "7001019"
"100600", "7001027"
"100600", "7001025"
"100601", "7001012"
"100601", "7001019"
"100601", "7001027"
"100601", "7001025"
"100602", "7001013"
"100602", "7001018"
"100602", "7001025"
"100603", "7001013"
"100603", "7001018"
"100603", "7001025"
"100604", "7001012"
"100604", "7001019"
"100604", "7001027"
"100604", "7001025"
"100605", "7001011"
"100605", "7001018"
"100605", "7001023"
"100605", "7001025"
"100606", "7001012"
"100606", "7001019"
"100606", "7001027"
"100606", "7001025"
"100607", "7001011"
"100607", "7001018"
"100607", "7001023"
"100607", "7001025"
"100608", "7001012"
"100608", "7001019"
"100608", "7001027"
"100608", "7001025"
"100609", "7001012"
"100609", "7001019"
"100609", "7001027"
"100609", "7001025"
"100610", "7001012"
"100610", "7001019"
"100610", "7001027"
"100610", "7001025"
"101176", "7000569"
"101176", "7000571"
"101177", "7000569"
"101177", "7000571"
"101178", "7000569"
"101178", "7000571"
"101178", "7000574"
"101179", "7000569"
"101179", "7000571"
"101179", "7000574"
"101180", "7000569"
"101180", "7000571"
"101181", "7000569"
"101181", "7000571"
"101182", "7000569"
"101182", "7000571"
"101182", "7000574"
"101183", "7000569"
"101183", "7000571"
"101183", "7000574"
"101373", "7004827"
"101373", "7004835"
"101373", "7004843"
"101374", "7004827"
"101374", "7004835"
"101374", "7004845"
"101375", "7004827"
"101375", "7004835"
"101375", "7004845"
"101376", "7004827"
"101376", "7004835"
"101377", "7004827"
"101377", "7004835"
"101377", "7004845"
"101378", "7004827"
"101378", "7004835"
"101378", "7004845"
"101379", "7004827"
"101379", "7004835"
"101379", "7004843"
"101380", "7004827"
