"7016095", "ATL", "BNA", "F", "DL", "",  342.00,  684.00, "NO"
"7016102", "ATL", "BNA", "M", "DL", "AP/57",  125.00,  250.00, "YES"
"7016101", "ATL", "BNA", "Q", "AA", "AP/57",  110.00,  220.00, "YES"
"7016104", "ATL", "BNA", "V", "AA", "AP/57",   90.00,  180.00, "YES"
"7016097", "ATL", "BNA", "Y", "DL", "",  228.00,  456.00, "NO"
"7016098", "ATL", "BNA", "Y", "AA", "",  297.00,  594.00, "NO"
"7001011", "ATL", "BOS", "F", "", "",  629.00, 1258.00, "NO"
"7001012", "ATL", "BOS", "F", "DL", "",  640.00, 1280.00, "NO"
"7001013", "ATL", "BOS", "F", "UA", "",  640.00, 1280.00, "NO"
"7001023", "ATL", "BOS", "H", "US", "AP/57",  145.00,  290.00, "YES"
"7001027", "ATL", "BOS", "M", "DL", "AP/57",  185.00,  370.00, "YES"
"7001025", "ATL", "BOS", "Q", "", "AP/57",  145.00,  290.00, "YES"
"7001018", "ATL", "BOS", "Y", "", "",  413.00,  826.00, "NO"
"7001019", "ATL", "BOS", "Y", "DL", "",  429.00,  858.00, "NO"
"7000569", "ATL", "BWI", "F", "", "",  553.00, 1106.00, "NO"
"7000574", "ATL", "BWI", "M", "DL", "AP/57",  150.00,  300.00, "YES"
"7000571", "ATL", "BWI", "Y", "", "",  366.00,  732.00, "NO"
"7004827", "ATL", "CLE", "F", "", "",  545.00, 1090.00, "NO"
"7004845", "ATL", "CLE", "M", "DL", "AP/57",  150.00,  300.00, "YES"
"7004843", "ATL", "CLE", "Q", "CO", "AP/57",  130.00,  260.00, "YES"
"7004835", "ATL", "CLE", "Y", "", "",  363.00,  726.00, "NO"
"7001887", "ATL", "CLT", "F", "", "",  288.00,  576.00, "NO"
"7001896", "ATL", "CLT", "M", "DL", "AP/57",   95.00,  190.00, "YES"
"7001895", "ATL", "CLT", "Q", "TW", "AP/57",   75.00,  150.00, "YES"
"7001890", "ATL", "CLT", "Y", "", "",  250.00,  500.00, "NO"
"7001891", "ATL", "CLT", "Y", "TW", "",  225.00,  450.00, "NO"
"7005850", "ATL", "CMH", "F", "", "",  480.00,  960.00, "NO"
"7005856", "ATL", "CMH", "H", "HP", "AP/57",  100.00,  200.00, "YES"
"7005855", "ATL", "CMH", "K", "HP", "",   89.00,  178.00, "NO"
"7005857", "ATL", "CMH", "M", "DL", "AP/57",  155.00,  310.00, "YES"
"7005852", "ATL", "CMH", "Y", "", "",  322.00,  644.00, "NO"
"7004006", "ATL", "CVG", "F", "DL", "",  501.00, 1002.00, "NO"
"7004014", "ATL", "CVG", "M", "DL", "AP/57",  130.00,  260.00, "YES"
"7004010", "ATL", "CVG", "Y", "DL", "",  336.00,  672.00, "NO"
"7028190", "ATL", "DCA", "F", "", "",  553.00, 1106.00, "NO"
"7028208", "ATL", "DCA", "M", "DL", "AP/57",  170.00,  340.00, "YES"
"7028206", "ATL", "DCA", "Q", "", "AP/57",  150.00,  300.00, "YES"
