"B", 1, "FIRST", "BREAKFAST"
"B", 1, "COACH", "BREAKFAST"
"B/", 1, "FIRST", "BREAKFAST"
"B/BS", 1, "FIRST", "BREAKFAST"
"B/BS", 1, "COACH", "BREAKFAST"
"B/BS", 2, "COACH", "SNACK"
"B/S", 1, "FIRST", "BREAKFAST"
"B/S", 1, "COACH", "SNACK"
"B/SB", 1, "FIRST", "BREAKFAST"
"B/SB", 1, "COACH", "SNACK"
"B/SB", 2, "COACH", "BREAKFAST"
"BB", 1, "FIRST", "BREAKFAST"
"BB", 2, "FIRST", "BREAKFAST"
"BB", 1, "COACH", "BREAKFAST"
"BB", 2, "COACH", "BREAKFAST"
"BB/BS", 1, "FIRST", "BREAKFAST"
"BB/BS", 2, "FIRST", "BREAKFAST"
"BB/BS", 1, "COACH", "BREAKFAST"
"BB/BS", 2, "COACH", "SNACK"
"BB/SB", 1, "FIRST", "BREAKFAST"
"BB/SB", 2, "FIRST", "BREAKFAST"
"BB/SB", 1, "COACH", "SNACK"
"BB/SB", 2, "COACH", "BREAKFAST"
"BB/SS", 1, "FIRST", "BREAKFAST"
"BB/SS", 2, "FIRST", "BREAKFAST"
"BB/SS", 1, "COACH", "SNACK"
"BB/SS", 2, "COACH", "SNACK"
"BD", 1, "FIRST", "BREAKFAST"
"BD", 2, "FIRST", "DINNER"
"BD", 1, "COACH", "BREAKFAST"
"BD", 2, "COACH", "DINNER"
"BD/BS", 1, "FIRST", "BREAKFAST"
"BD/BS", 2, "FIRST", "DINNER"
"BD/BS", 1, "COACH", "BREAKFAST"
"BD/BS", 2, "COACH", "SNACK"
"BL", 1, "FIRST", "BREAKFAST"
"BL", 2, "FIRST", "LUNCH"
"BL", 1, "COACH", "BREAKFAST"
"BL", 2, "COACH", "LUNCH"
"BL/BS", 1, "FIRST", "BREAKFAST"
"BL/BS", 2, "FIRST", "LUNCH"
"BL/BS", 1, "COACH", "BREAKFAST"
"BL/BS", 2, "COACH", "SNACK"
"BL/BSL", 1, "FIRST", "BREAKFAST"
"BL/BSL", 2, "FIRST", "LUNCH"
"BL/BSL", 1, "COACH", "BREAKFAST"
"BL/BSL", 2, "COACH", "SNACK"
"BL/BSL", 3, "COACH", "LUNCH"
"BL/S", 1, "FIRST", "BREAKFAST"
"BL/S", 2, "FIRST", "LUNCH"
"BL/S", 1, "COACH", "SNACK"
