"AIRCRAFT", "AIRCRAFT_CODE", "AIRCRAFT", "", "THE CODE FOR A TYPE OF AIRCRAFT."
"AIRCRAFT", "AIRCRAFT_DESCRIPTION", "AIRCRAFT DESCRIPTION", "", "A BRIEF DESCRIPTION OF A TYPE OF AIRCRAFT."
"AIRCRAFT", "MANUFACTURER", "MANUFACTURER", "", "THE MANUFACTURER OF AN AIRCRAFT."
"AIRCRAFT", "BASIC_TYPE", "BASIC TYPE", "", "THE BASIC TYPE OF AN AIRCRAFT."
"AIRCRAFT", "ENGINES", "ENGINES", "", "THE NUMBER OF ENGINES ON AN AIRCRAFT."
"AIRCRAFT", "PROPULSION", "PROPULSION", "", "THE TYPE OF PROPULSION OF AN AIRCRAFT."
"AIRCRAFT", "WIDE_BODY", "WIDE BODY", "", "'YES' IF AN AIRCRAFT IS WIDE-BODIED, 'NO' OTHERWISE."
"AIRCRAFT", "WING_SPAN", "WING SPAN", "FOOT", "THE WIDTH OF AN AIRCRAFT FROM WINGTIP TO WINGTIP."
"AIRCRAFT", "LENGTH", "LENGTH", "FOOT", "THE OVERALL LENGTH OF AN AIRCRAFT."
"AIRCRAFT", "WEIGHT", "WEIGHT", "POUND", "THE TOTAL WEIGHT OF AN AIRCRAFT."
"AIRCRAFT", "CAPACITY", "SEATING CAPACITY", "PERSON", "THE SEATING CAPACITY OF AN AIRCRAFT."
"AIRCRAFT", "PAY_LOAD", "PAY LOAD", "POUND", "HOW MUCH WEIGHT AN AIRCRAFT CAN CARRY."
"AIRCRAFT", "CRUISING_SPEED", "SPEED", "MPH", "THE SPEED OF AN AIRCRAFT WHEN CRUISING."
"AIRCRAFT", "RANGE_MILES", "RANGE", "MILE", "HOW FAR AN AIRCRAFT CAN FLY."
"AIRCRAFT", "PRESSURIZED", "PRESSURIZED", "", "'YES' IF AN AIRCRAFT HAS A PRESSURIZED CABIN, 'NO' OTHERWISE."
"AIRLINE", "AIRLINE_CODE", "AIRLINE", "", "THE CODE FOR AN AIRLINE."
"AIRLINE", "AIRLINE_NAME", "AIRLINE NAME", "", "THE OFFICIAL NAME OF AN AIRLINE."
"AIRLINE", "NOTE", "NOTE", "", "A NOTE ABOUT THE STATUS OF AN AIRLINE."
"AIRPORT", "AIRPORT_CODE", "AIRPORT", "", "THE CODE FOR AN AIRPORT."
"AIRPORT", "AIRPORT_NAME", "AIRPORT NAME", "", "THE OFFICIAL NAME OF AN AIRPORT."
"AIRPORT", "AIRPORT_LOCATION", "AIRPORT LOCATION", "", "THE OFFICIAL AIRLINE INDUSTRY DESCRIPTION OF THE LOCATION OF AN AIRPORT."
"AIRPORT", "STATE_CODE", "STATE", "", "THE STANDARD CODE FOR A STATE OR PROVINCE."
"AIRPORT", "COUNTRY_NAME", "COUNTRY", "", "THE NAME OF A COUNTRY."
"AIRPORT", "TIME_ZONE_CODE", "TIME ZONE", "", "THE CODE FOR A TIME ZONE."
"AIRPORT", "MINIMUM_CONNECT_TIME", "MINIMUM CONNECT TIME", "MINUTE", "THE STANDARD MINIMUM CONNECTING TIME FOR DOMESTIC FLIGHTS AT AN AIRPORT."
"AIRPORT_SERVICE", "CITY_CODE", "CITY CODE", "", "THE CODE FOR A CITY."
"AIRPORT_SERVICE", "AIRPORT_CODE", "AIRPORT", "", "THE CODE FOR AN AIRPORT."
"AIRPORT_SERVICE", "MILES_DISTANT", "DISTANCE", "MILE", "THE DISTANCE BETWEEN AN AIRPORT AND A CITY."
"AIRPORT_SERVICE", "DIRECTION", "DIRECTION", "", "THE DIRECTION FROM AN AIRPORT TO A CITY."
"AIRPORT_SERVICE", "MINUTES_DISTANT", "TRAVEL TIME", "MINUTE", "THE APPROXIMATE TIME TO TRAVEL BETWEEN AN AIRPORT AND A CITY."
"CITY", "CITY_CODE", "CITY CODE", "", "THE CODE FOR A CITY."
"CITY", "CITY_NAME", "CITY", "", "THE NAME OF A CITY."
"CITY", "STATE_CODE", "STATE", "", "THE STANDARD CODE FOR A STATE OR PROVINCE."
"CITY", "COUNTRY_NAME", "COUNTRY", "", "THE NAME OF A COUNTRY."
"CITY", "TIME_ZONE_CODE", "TIME ZONE", "", "THE CODE FOR A TIME ZONE."
"CLASS_OF_SERVICE", "BOOKING_CLASS", "CLASS", "", "A CLASS OF SERVICE ON A FLIGHT."
"CLASS_OF_SERVICE", "RANK", "RANK", "", "THE NUMERIC RANK OF A CLASS OF SERVICE WHERE 1 IS BEST."
"CLASS_OF_SERVICE", "CLASS_DESCRIPTION", "CLASS DESCRIPTION", "", "A DESCRIPTION OF A CLASS OF SERVICE."
"CODE_DESCRIPTION", "CODE", "CODE", "", "A CODE USED BY ATIS."
"CODE_DESCRIPTION", "DESCRIPTION", "MEANING", "", "THE MEANING OF AN ATIS CODE."
"COLUMN_TABLE", "TABLE_NAME", "TABLE NAME", "", "THE NAME OF A TABLE IN THE ATIS DATABASE."
"COLUMN_TABLE", "COLUMN_NAME", "COLUMN NAME", "", "THE NAME OF A COLUMN IN A TABLE."
"COLUMN_TABLE", "HEADING", "HEADING", "", "THE HEADING FOR A COLUMN IN A TABLE."
"COLUMN_TABLE", "UNIT", "UNIT", "", "THE UNIT (IF ANY) FOR A COLUMN."
"COLUMN_TABLE", "COLUMN_DESCRIPTION", "COLUMN DESCRIPTION", "", "A DESCRIPTION OF A COLUMN."
"COMPARTMENT_CLASS", "COMPARTMENT", "COMPARTMENT", "", "THE COMPARTMENT IN WHICH A MEAL IS SERVED."
"COMPARTMENT_CLASS", "CLASS_TYPE", "CLASS TYPE", "", "A TYPE OF CLASS OF SERVICE."
"DATE_DAY", "MONTH_NUMBER", "MONTH", "", "THE NUMBER OF A MONTH IN THE YEAR."
"DATE_DAY", "DAY_NUMBER", "DAY", "", "THE NUMBER OF A DAY IN A MONTH."
"DATE_DAY", "YEAR", "YEAR", "", "THE NUMBER OF A YEAR (A.D.)."
"DATE_DAY", "DAY_NAME", "DAY NAME", "", "THE NAME OF A DAY OF THE WEEK."
"DAYS", "DAYS_CODE", "DAYS", "", "A STRING OF CODES FOR DAYS OF THE WEEK, WITH 'NOT' TO EXCLUDE DAYS, AND 'DAILY' FOR ALL."
"DAYS", "DAY_NAME", "DAY NAME", "", "THE NAME OF A DAY OF THE WEEK."
"DUAL_CARRIER", "MAIN_AIRLINE", "MAIN AIRLINE", "", "THE CODE FOR THE LISTED CARRIER FOR A DUAL CARRIER FLIGHT."
"DUAL_CARRIER", "LOW_FLIGHT_NUMBER", "LOW FLIGHT #", "", "THE LOW NUMBER IN A RANGE OF DUAL CARRIER FLIGHT NUMBERS."
"DUAL_CARRIER", "HIGH_FLIGHT_NUMBER", "HIGH FLIGHT #", "", "THE HIGH NUMBER IN A RANGE OF DUAL CARRIER FLIGHT NUMBERS."
"DUAL_CARRIER", "DUAL_AIRLINE", "DUAL AIRLINE", "", "THE CODE FOR THE OPERATING CARRIER FOR A DUAL CARRIER FLIGHT."
"DUAL_CARRIER", "SERVICE_NAME", "SERVICE NAME", "", "THE NAME FOR A DUAL CARRIER SERVICE."
"EQUIPMENT_SEQUENCE", "AIRCRAFT_CODE_SEQUENCE", "EQUIPMENT", "", "THE SEQUENCE OF CODES FOR THE AIRCRAFT USED ON A FLIGHT."
"EQUIPMENT_SEQUENCE", "AIRCRAFT_CODE", "AIRCRAFT", "", "THE CODE FOR A TYPE OF AIRCRAFT."
"FARE", "FARE_ID", "FARE ID", "", "A UNIQUE IDENTIFIER FOR A FARE."
"FARE", "FROM_AIRPORT", "FROM", "", "THE ORIGIN AIRPORT FOR A FLIGHT OR FARE."
"FARE", "TO_AIRPORT", "TO", "", "THE DESTINATION AIRPORTFOR A FLIGHT OR FARE."
