"109689", 1, "DAILY", "DFW", 1203, "AA", 1010, 1257, "AA", 1010, 54
"102000", 1, "DAILY", "ORD", 0935, "AA", 1013, 1035, "AA", 1013, 60
"102694", 1, "DAILY", "ORD", 2115, "AA", 1040, 2155, "AA", 1040, 40
"106056", 1, "DAILY", "BNA", 0849, "AA", 1045, 1000, "AA", 1045, 71
"110646", 1, "NOT SA", "ORD", 0814, "AA", 1063, 0910, "AA", 1063, 56
"110647", 1, "SA", "ORD", 0814, "AA", 1063, 0915, "AA", 1063, 61
"110633", 1, "DAILY", "SJC", 1407, "AA", 1071, 1502, "AA", 1071, 55
"100512", 1, "DAILY", "DFW", 1202, "AA", 1086, 1252, "AA", 1086, 50
"107066", 1, "DAILY", "DFW", 1625, "AA", 1096, 1709, "AA", 1096, 44
"100572", 1, "DAILY", "DFW", 2229, "AA", 1102, 2311, "AA", 1102, 42
"101154", 1, "NOT SA", "SJC", 1624, "AA", 1107, 1706, "AA", 1107, 42
"101853", 1, "DAILY", "DFW", 1907, "AA", 1110, 2002, "AA", 1110, 55
"107349", 1, "DAILY", "BNA", 1322, "AA", 1124, 1400, "AA", 1124, 38
"106663", 1, "DAILY", "BNA", 1835, "AA", 1138, 1940, "AA", 1138, 65
"111106", 1, "DAILY", "DFW", 0933, "AA", 1143, 1055, "AA", 1143, 82
"107544", 1, "DAILY", "BNA", 0906, "AA", 1159, 0950, "AA", 1159, 44
"105265", 1, "DAILY", "BNA", 2015, "AA", 1162, 2104, "AA", 1162, 49
"106585", 1, "DAILY", "DFW", 1007, "AA", 1166, 1053, "AA", 1166, 46
"109843", 1, "DAILY", "ORD", 1350, "AA", 1167, 1500, "AA", 1167, 70
"103931", 1, "DAILY", "DFW", 1627, "AA", 1168, 1715, "AA", 1168, 48
"111547", 1, "DAILY", "DFW", 0833, "AA", 1183, 0930, "AA", 1183, 57
"110480", 1, "DAILY", "LAX", 1948, "AA", 119, 2115, "AA", 119, 87
"105744", 1, "NOT SA", "DFW", 2027, "AA", 1191, 2202, "AA", 1191, 95
"111314", 1, "SA", "DFW", 2027, "AA", 1191, 2155, "AA", 1191, 88
"106656", 1, "DAILY", "BNA", 1310, "AA", 1192, 1420, "AA", 1192, 70
"103022", 1, "DAILY", "ORD", 2046, "AA", 1199, 2135, "AA", 1199, 49
"105558", 1, "DAILY", "ORD", 1712, "AA", 1211, 1820, "AA", 1211, 68
"101045", 1, "DAILY", "ORD", 0945, "AA", 1212, 1025, "AA", 1212, 40
"106802", 1, "DAILY", "DFW", 1324, "AA", 122, 1433, "AA", 122, 69
"109692", 1, "DAILY", "BNA", 1840, "AA", 1222, 1940, "AA", 1222, 60
"102010", 1, "DAILY", "DFW", 1336, "AA", 1224, 1431, "AA", 1224, 55
"106860", 1, "DAILY", "DFW", 1751, "AA", 1227, 1828, "AA", 1227, 37
"103272", 1, "SA", "ORD", 1714, "AA", 1243, 1820, "AA", 1243, 66
"108365", 1, "DAILY", "ORD", 0744, "AA", 1247, 0850, "AA", 1247, 66
"102688", 1, "SA", "DFW", 1158, "AA", 1256, 1259, "AA", 1256, 61
"108175", 1, "DAILY", "ORD", 1215, "AA", 1276, 1320, "AA", 1276, 65
"111110", 1, "DAILY", "BNA", 1426, "AA", 1287, 1510, "AA", 1287, 44
"108158", 1, "DAILY", "ORD", 2045, "AA", 1295, 2130, "AA", 1295, 45
"101034", 1, "FR", "ORD", 2115, "AA", 1318, 2155, "AA", 1318, 40
"111859", 1, "DAILY", "BNA", 1433, "AA", 1323, 1510, "AA", 1323, 37
"102720", 1, "DAILY", "BNA", 1834, "AA", 1334, 1930, "AA", 1334, 56
